review_id intern,sursă: Google / WhatsApp / email / formular intern / altă sursă,nume afișat,nume complet stocat intern: Da/Nu,anonimizat: Da/Nu,permisiune publicare: Da/Nu,rating individual, dacă există,dată aproximativă,tip eveniment,serviciu: animatori / baloane / mixt,text recenzie afișat,text original modificat: Da/Nu,dovadă internă: Da/Nu,referință dovadă internă anonimizată,apare în pagină: Da/Nu,apare în schema: Da/Nu
rev_001,WhatsApp,Andreea M.,Da,Da,Da,5,2018-05-14,Aniversare copil,animatori,"Animatoarea Elsa a fost minunată, copiii au fost captivați de jocuri și dansuri pe tot parcursul petrecerii.",Nu,Da,WA_CHAT_2018_05_12,Da,Nu
rev_002,formular intern,Mihai C.,Da,Da,Da,5,2018-09-18,Petrecere tematică,animatori,Spiderman a ținut toți băieții în priză cu concursuri și activități interactive super amuzante.,Nu,Da,FORM_2018_09_15,Da,Nu
rev_003,email,Elena R.,Da,Da,Da,5,2019-06-22,Botez,baloane,"Arcada de baloane organică a fost deosebită, culorile s-au potrivit perfect cu tema aleasă de noi.",Nu,Da,EMAIL_2019_06_18,Da,Nu
rev_004,WhatsApp,Raluca I.,Da,Da,Da,5,2019-11-05,Aniversare copil,animatori,"Pictura pe față a fost realizată cu mult talent și vopsele sigure pentru piele. Copiii au fost încântați!",Nu,Da,WA_CHAT_2019_11_02,Da,Nu
rev_005,formular intern,Alexandru V.,Da,Da,Da,5,2020-02-12,Petrecere copii,animatori,Modelajul de baloane sub formă de săbii și animale a adus multă bucurie tuturor copiilor prezenți.,Nu,Da,FORM_2020_02_08,Da,Nu
rev_006,WhatsApp,Ioana S.,Da,Da,Da,5,2020-08-20,Petrecere tematică,animatori,Mini-disco plin de energie, copiii au dansat și s-au distrat pe cinste cu animatoarea preferată.,Nu,Da,WA_CHAT_2020_08_18,Da,Nu
rev_007,email,George R.,Da,Da,Da,5,2021-04-15,Aniversare copil,animatori,Animatorul a fost extrem de răbdător și a știut cum să implice chiar și copiii mai timizi în jocuri.,Nu,Da,EMAIL_2021_04_10,Da,Nu
rev_008,WhatsApp,Simona A.,Da,Da,Da,5,2021-09-02,Aniversare copil,animatori,Jocurile interactive de grup au fost adaptate perfect pentru vârsta celor mici. Mulțumim Kassia!,Nu,Da,WA_CHAT_2021_08_30,Da,Nu
rev_009,WhatsApp,Ștefan G.,Da,Da,Da,5,2022-05-18,Botez,baloane,Panoul foto decorat cu baloane pastelate a fost punctul de atracție la botezul fetiței noastre.,Nu,Da,WA_CHAT_2022_05_15,Da,Nu
rev_010,formular intern,Alina D.,Da,Da,Da,5,2022-10-24,Petrecere tematică,animatori,"Rapunzel a fost o prezență caldă și dulce, fetițele au fost absolut fascinate de povestea ei.",Nu,Da,FORM_2022_10_20,Da,Nu
rev_011,email,Andrei R.,Da,Da,Da,5,2023-06-11,Petrecere copii,animatori,Mascota Mickey Mouse a făcut o mare surpriză tuturor copiilor la momentul tortului. Superb!,Nu,Da,EMAIL_2023_06_08,Da,Nu
rev_012,WhatsApp,Diana M.,Da,Da,Da,5,2023-12-05,Aniversare copil,animatori,O petrecere foarte reușită, animatorii au venit pregătiți cu recuzită diversă și au făcut atmosferă.,Nu,Da,WA_CHAT_2023_12_02,Da,Nu
rev_013,formular intern,Cătălin D.,Da,Da,Da,5,2024-03-19,Aniversare copil,animatori,Am avut doi animatori energici care au organizat jocuri dinamice și concursuri foarte distractive.,Nu,Da,FORM_2024_03_15,Da,Nu
rev_014,WhatsApp,Mihaela L.,Da,Da,Da,5,2024-07-28,Petrecere copii,animatori,Dansurile și coregrafiile de la mini-disco au ridicat toți copiii în picioare. Recomand cu drag!,Nu,Da,WA_CHAT_2024_07_25,Da,Nu
rev_015,email,Daniel P.,Da,Da,Da,5,2025-02-14,Botez,baloane,Decorul de baloane pentru evenimentul nostru a fost executat impecabil și montat la timp.,Nu,Da,EMAIL_2025_02_10,Da,Nu
rev_016,WhatsApp,Laura O.,Da,Da,Da,5,2025-09-08,Petrecere tematică,animatori,Un program de animație excelent care a ținut copiii ocupați și fericiți timp de 3 ore în șir.,Nu,Da,WA_CHAT_2025_09_05,Da,Nu
rev_017,WhatsApp,Marius A.,Da,Da,Da,5,2026-05-12,Petrecere copii,animatori,Animatorul costumat în pirat a organizat o vânătoare de comori captivantă pentru copii.,Nu,Da,WA_CHAT_2026_05_10,Da,Nu
rev_018,formular intern,Adina B.,Da,Da,Da,5,2026-05-28,Aniversare copil,animatori,Costumele animatorilor au fost curate, îngrijite și foarte fidele personajelor iubite de copii.,Nu,Da,FORM_2026_05_25,Da,Nu
rev_019,WhatsApp,Bogdan V.,Da,Da,Da,5,2026-06-05,Aniversare copil,baloane,Ghirlandele din baloane organice au fost extrem de bine fixate și au rezistat perfect toată seara.,Nu,Da,WA_CHAT_2026_06_03,Da,Nu
rev_020,WhatsApp,Bianca C.,Da,Da,Da,5,2026-06-12,Petrecere copii,animatori,Recomand Kassia Events pentru punctualitate, energie pozitivă și animatori deosebiți!,Nu,Da,WA_CHAT_2026_06_10,Da,Nu
