url,slug,path,exists_in_sitemap,exists_in_db,exists_in_live_crawl,exists_in_internal_links,db_page_id,live_status_code,canonical,canonical_ok,robots_meta,indexable,title,title_duplicate_group,meta_description,meta_duplicate_group,h1,h1_duplicate_group,h2,word_count_main_content,word_count_body_total,page_type,service_detected,location_detected,intent_detected,internal_links_in_count,internal_links_out_count,orphan_risk,images_count,images_missing_alt,schema_types_detected,cta_detected,contact_link_detected,pricing_or_package_detected,faq_visible,faq_schema_detected,reviews_or_trust_detected,issues,recommendation
"https://www.kassia.ro/decoratiuni-baloane-corporate-bucuresti","/decoratiuni-baloane-corporate-bucuresti","/decoratiuni-baloane-corporate-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/decoratiuni-baloane-corporate-bucuresti/",true,"index, follow",true,"Decorațiuni Baloane Corporate București și Ilfov | Kassia Events","","Decorațiuni cu baloane pentru evenimente corporate în București și Ilfov. Arcade, panouri foto, decoruri pentru lansări, conferințe și petreceri de firmă.","","Decorațiuni cu baloane pentru evenimente corporate în București și Ilfov","","Impact vizual pentru evenimente de companie; Decoruri pentru lansări de produs, conferințe și petreceri de firmă; Arcade organice și zone de întâmpinare pentru branduri; Panou foto corporate și decor pentru poze; Culori de brand și decor personalizat pentru locație; Montaj la locație și ofertă personalizată; Întrebări Frecvente",786,4386,"service","","","",5,81,false,27,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/panou-foto-baloane-majorat-bucuresti","/panou-foto-baloane-majorat-bucuresti","/panou-foto-baloane-majorat-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/panou-foto-baloane-majorat-bucuresti/",true,"index, follow",true,"Panou Foto Majorat cu Baloane București | Kassia Events","","Panou foto cu baloane pentru majorat în București și Ilfov. Photo corner cu cifre 18, baloane cu heliu, arcade și decor glam pentru petreceri.","","Panou foto cu baloane pentru majorat în București și Ilfov","","Photo corner pentru poze la majorat; Panou foto cu cifre 18 și baloane; Decor glam pentru Sweet 18; Panou foto combinat cu arcadă sau baloane cu heliu; Culori și stiluri pentru panou foto majorat; Montaj la locație și ofertă personalizată; Întrebări Frecvente",929,4535,"service","","","",5,84,false,27,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/decoratiuni-baloane-nunta-bucuresti","/decoratiuni-baloane-nunta-bucuresti","/decoratiuni-baloane-nunta-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/decoratiuni-baloane-nunta-bucuresti/",true,"index, follow",true,"Decorațiuni baloane nuntă București și Ilfov | Kassia Events","","Decorațiuni cu baloane pentru nuntă și cununie în București și Ilfov. Arcade, panouri foto, decor pentru candy bar, intrare și zone foto.","","Decorațiuni cu baloane pentru nuntă în București și Ilfov","","Alege Serviciul Dorit; Ce poate include un decor de nuntă cu baloane; Cum alegem culorile și stilul decorului de nuntă; Montaj la locație în București și Ilfov; Stabilește detaliile pentru nunta ta; Întrebări Frecvente",722,4348,"service","","","",5,80,false,26,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/contact","/contact","/contact",true,false,true,true,"",200,"https://www.kassia.ro/contact/",true,"index, follow",true,"Contact Kassia Events | Decorațiuni cu baloane București și Ilfov","","Contactează Kassia Events pentru decorațiuni cu baloane în București și Ilfov. Cere o estimare adaptată pe WhatsApp sau telefon pentru evenimentul tău.","","Contact Kassia Events pentru decorațiuni cu baloane în București și Ilfov","","Date de contact directe; De ce detalii avem nevoie?; Unde ne deplasăm?; Cum pregătim oferta; Trimite-ne detaliile evenimentului; Întrebări Frecvente",641,4113,"service","","","",5,80,false,23,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/preturi-decoratiuni-baloane","/preturi-decoratiuni-baloane","/preturi-decoratiuni-baloane",true,false,true,true,"",200,"https://www.kassia.ro/preturi-decoratiuni-baloane/",true,"index, follow",true,"Prețuri decorațiuni baloane București și Ilfov | Kassia Events","","Află de ce depind prețurile pentru decorațiuni cu baloane în București și Ilfov. Solicită o estimare adaptată pentru evenimentul tău.","","Prețuri decorațiuni cu baloane în București și Ilfov","","Alege Serviciul Dorit; Întrebări Frecvente",692,4370,"service","","","",5,89,false,27,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/baloane-heliu-aniversare-bucuresti","/baloane-heliu-aniversare-bucuresti","/baloane-heliu-aniversare-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/baloane-heliu-aniversare-bucuresti/",true,"index, follow",true,"Baloane cu Heliu Aniversare București și Ilfov | Kassia Events","","Baloane cu heliu pentru aniversări în București și Ilfov. Buchete, cifre, litere, baloane folie și aranjamente festive pentru copii și adulți.","","Baloane cu heliu pentru aniversare în București și Ilfov","","Buchete de baloane cu heliu pentru petreceri aniversare; Cifre, litere și baloane folie pentru vârsta aniversată; Baloane cu heliu pentru copii, adulți și majorate; Culori și stiluri pentru baloane cu heliu aniversare; Baloane cu heliu combinate cu panou foto sau arcadă; Comandă și ofertă personalizată pentru baloane cu heliu; Întrebări Frecvente",929,4512,"service","","","",5,85,false,27,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/decoratiuni-baloane-bucuresti","/decoratiuni-baloane-bucuresti","/decoratiuni-baloane-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/decoratiuni-baloane-bucuresti/",true,"index, follow",true,"Decorațiuni cu Baloane București și Ilfov | Kassia Events","","Realizăm decoruri cu baloane pentru botezuri, nunți, aniversări și evenimente corporate în București și Ilfov. Arcade, panouri foto și baloane cu heliu.","","Decorațiuni cu baloane în București și Ilfov","","Alege Serviciul Dorit; De ce să alegi Kassia Events?; Importanța unui decor unitar; Organizarea spațiului în funcție de locație; Diferența dintre designul organic și abordarea clasică; Rolul zonelor foto în captarea momentelor; Elemente plutitoare pentru ringul de dans; Tendințe actuale în cromatica aranjamentelor; Integrarea baloanelor la nunți; Impact vizual pentru evenimente corporate; De la idee la montaj: stabilirea detaliilor; Cere o propunere pentru decorul tău; Întrebări Frecvente",1299,5370,"service","","","",5,92,false,30,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/panou-foto-baloane-bucuresti","/panou-foto-baloane-bucuresti","/panou-foto-baloane-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/panou-foto-baloane-bucuresti/",true,"index, follow",true,"Panou Foto cu Baloane București și Ilfov | Kassia Events","","Panouri foto cu baloane pentru botezuri, nunți, aniversări, majorate și evenimente corporate în București și Ilfov. Decoruri elegante pentru poze deosebite.","","Panou foto cu baloane în București și Ilfov","","Pentru ce evenimente se potrivește un panou foto cu baloane; Tipuri de panouri foto și decoruri disponibile; Panou foto pentru botez, nuntă, aniversare sau majorat; Cum alegem culorile, dimensiunea și stilul panoului; Montaj la locație și ofertă personalizată; Întrebări Frecvente",885,4440,"service","","","",5,74,false,26,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/baloane-heliu-bucuresti","/baloane-heliu-bucuresti","/baloane-heliu-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/baloane-heliu-bucuresti/",true,"index, follow",true,"Baloane cu Heliu București și Ilfov | Kassia Events","","Baloane cu heliu pentru aniversări, botezuri, petreceri și evenimente în București și Ilfov. Buchete, cifre, litere și baloane folie, personalizate pe temă și culori.","","Baloane cu heliu în București și Ilfov","","Ce tipuri de baloane cu heliu poți alege; Buchete de baloane, cifre și litere pentru ocazii speciale; Baloane cu heliu pentru botezuri, aniversări și petreceri; Cum alegem culorile și stilul aranjamentului; Cum comanzi baloane cu heliu de la Kassia Events; Întrebări Frecvente",875,4430,"service","","","",5,73,false,26,0,"",true,true,true,true,false,false,"","KEEP"
"https://www.kassia.ro/decoratiuni-baloane-botez-bucuresti","/decoratiuni-baloane-botez-bucuresti","/decoratiuni-baloane-botez-bucuresti",true,false,true,true,"",200,"https://www.kassia.ro/decoratiuni-baloane-botez-bucuresti/",true,"index, follow",true,"Decorațiuni Baloane Botez București și Ilfov | Kassia Events","","Decorațiuni cu baloane pentru botez în București și Ilfov. Arcade, panouri foto, candy bar, baloane cu heliu și decoruri personalizate pentru fetiță sau băiețel.","","Decorațiuni cu baloane pentru botez în București și Ilfov","","Decor complet pentru botez, de la intrare la masa de tort; Arcade din baloane pentru intrare și zona foto; Panou foto cu baloane pentru poze de familie; Candy bar, masă de tort și colț tematic; Baloane cu heliu și buchete pentru mesele invitaților; Culori pastelate pentru fetiță, băiețel sau tematică neutră; Montaj la restaurant, salon, terasă sau acasă; Cum stabilim detaliile pentru botezul copilului tău; Importanța cromaticii în amenajarea botezului; Primul impact: amenajarea zonei de primire; Zone de atracție pentru cei mici și cei mari; Criterii în alegerea dimensiunii potrivite pentru structuri; Organizarea logistică a montajului la restaurant; Programează decorul de botez; Întrebări Frecvente",1628,5618,"service","","","",5,81,false,29,0,"",true,true,true,true,false,false,"","KEEP"
