url,db_id,title,h1,service,location,word_count,canonical,indexable,in_sitemap,internal_links_in,content_quality,cannibalization_risk,reason,priority
"https://www.kassia.ro/animatori-petreceri-copii-floreasca","3eb2c5d4-4a6f-4993-8755-de75ac9fa606","Animatori pentru petreceri de copii în Floreasca | Kassia","Animatori pentru petreceri de copii în Floreasca","animatori","floreasca",958,"https://www.kassia.ro/animatori-petreceri-copii-floreasca/",false,false,0,"strong",false,"High quality content ready to rank","P0"
"https://www.kassia.ro/animatori-pentru-copii-4-10-ani-bucuresti","a14a5622-49e7-4018-93bd-e02da1a23c83","Animatori Petreceri Copii animatori pentru copii 4 10 ani bucuresti | Kassia","Animatori Petreceri Copii animatori pentru copii 4 10 ani bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-pentru-copii-4-10-ani-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-petrecere-copii-prescolari-bucuresti","09229bcb-2b0d-4c28-84b9-9fb7e4634475","Animatori Petreceri Copii animatori petrecere copii prescolari bucuresti | Kassia","Animatori Petreceri Copii animatori petrecere copii prescolari bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-petrecere-copii-prescolari-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-petrecere-copii-scolari-bucuresti","8cb4ff49-10aa-4133-b345-04988e34f970","Animatori Petreceri Copii animatori petrecere copii scolari bucuresti | Kassia","Animatori Petreceri Copii animatori petrecere copii scolari bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-petrecere-copii-scolari-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-petrecere-copii-vara-bucuresti","b70a4595-0bdb-4fe4-8cb8-ec8fe41422c5","Animatori Petreceri Copii animatori petrecere copii vara bucuresti | Kassia","Animatori Petreceri Copii animatori petrecere copii vara bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-petrecere-copii-vara-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-petrecere-copii-iarna-bucuresti","b088f29a-ac94-4c69-8180-184824a182ce","Animatori Petreceri Copii animatori petrecere copii iarna bucuresti | Kassia","Animatori Petreceri Copii animatori petrecere copii iarna bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-petrecere-copii-iarna-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-petrecere-surpriza-copii-bucuresti","1298c3a7-49d2-4754-896d-2c0d021a48d0","Animatori Petreceri Copii animatori petrecere surpriza copii bucuresti | Kassia","Animatori Petreceri Copii animatori petrecere surpriza copii bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-petrecere-surpriza-copii-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-petrecere-copii-weekend-bucuresti","b8ed2e61-b68d-42ac-892d-aab8d92807a5","Animatori Petreceri Copii animatori petrecere copii weekend bucuresti | Kassia","Animatori Petreceri Copii animatori petrecere copii weekend bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-petrecere-copii-weekend-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-copii-la-loc-de-joaca-bucuresti","7cd39930-c919-427f-a478-7b8c436c0081","Animatori Petreceri Copii animatori copii la loc de joaca bucuresti | Kassia","Animatori Petreceri Copii animatori copii la loc de joaca bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-copii-la-loc-de-joaca-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-copii-la-sala-evenimente-bucuresti","913b9315-8cd9-4f4a-884a-124ee210bfdd","Animatori Petreceri Copii animatori copii la sala evenimente bucuresti | Kassia","Animatori Petreceri Copii animatori copii la sala evenimente bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-copii-la-sala-evenimente-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P1"
"https://www.kassia.ro/animatori-copii-in-aer-liber-bucuresti","a005e26b-3f30-417e-8233-fce1f71eb393","Animatori Petreceri Copii animatori copii in aer liber bucuresti | Kassia","Animatori Petreceri Copii animatori copii in aer liber bucuresti","animatori","bucuresti",730,"https://www.kassia.ro/animatori-copii-in-aer-liber-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P2"
"https://www.kassia.ro/animatori-petreceri-copii-ilfov","302ecd22-67c2-425f-a184-d49e126b4a6d","Animatori Petreceri Copii animatori petreceri copii ilfov | Kassia","Animatori Petreceri Copii animatori petreceri copii ilfov","animatori","ilfov",727,"https://www.kassia.ro/animatori-petreceri-copii-ilfov/",false,false,0,"strong",false,"High quality content ready to rank","P2"
"https://www.kassia.ro/animatori-aniversari-copii-bucuresti","30996b9f-3685-4621-bffc-fa90a40c1d79","Animatori Petreceri Copii animatori aniversari copii bucuresti | Kassia","Animatori Petreceri Copii animatori aniversari copii bucuresti","animatori","bucuresti",727,"https://www.kassia.ro/animatori-aniversari-copii-bucuresti/",false,false,0,"strong",false,"High quality content ready to rank","P2"
"https://www.kassia.ro/animatori-copii-stefanestii-de-jos","258d1bce-11d7-4a70-8630-2e151c2d77ca","Animatori Petreceri Copii animatori copii stefanestii de jos | Kassia","Animatori Petreceri Copii animatori copii stefanestii de jos","animatori","jos",727,"https://www.kassia.ro/animatori-copii-stefanestii-de-jos/",false,false,0,"strong",false,"High quality content ready to rank","P2"
